biblionumber	kept_shelf	full_title	author	abstract	publications_data	content	subject1	subject2	subject3	other_authors	book_url
291272	1	Group and team work /	Flores, Ricardo,	Setting out a step-by-step guide to the implementation of a theoretically robust team work-centric approach to education, Group and Team Work explains valuable team work theory and its practical dynamics. It details specific approaches educators can take to effectively play different roles, such as that of facilitator, instructor and coach, thus depicting a varied and detailed picture of team work in higher education. Offering a concise overview of team learning pedagogies, this accessible book provides globally relevant teaching strategies alongside invaluable supplementary resources. Chapters discuss factors that may impact the way that team work can and should be structured in modern business schools. Ultimately, they insist that educators must reconsider current team work practices in order to achieve better results. This essential book will provide lecturers of business, management and entrepreneurship with crucial teaching strategies that will aid in class engagement. It will also be useful for PhD students working in higher education institutions.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291272
291271	1	Understanding green finance : | a critical assessment and alternative perspectives /		Exploring how green finance has become a key strategy for the financial industry in the wake of the 2007-08 financial crisis, this timely book critically assesses the current dominant forms of neoliberal green finance. Understanding Green Finance delivers a pioneering analysis of the topic, covering the essential tenets of green finance with an emphasis on critical approaches to mainstream views and presenting alternatives insights and perspectives. This prescient book first introduces the concept of, and current approaches to, green finance and green monetary policy, ultimately presenting a range of potential alternatives including both reformist and transformative-progressive approaches. Chapters explore how neoliberal green finance tends to deepen financialisation, and does not effectively address environmental problems, offering insights into reformist forms of green finance that insist that state regulation and public financing are crucial to tackling environmental problems. A crucial contribution to the debate surrounding the financial industry's role in addressing the environmental crisis, this book will be beneficial for academics and students with an interest in environmental, ecological and financial economics. The accessible writing style will also prove valuable for policy makers, civil society professionals and financial and sustainability experts.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291271
291270	1	Thrive : | maximizing well-being in the age of AI /	Bapna, Ravi,	Artificial intelligence (AI) is a powerful general-purpose technology that is reshaping the modern economy, but misperceptions about AI stand in the way of harnessing it for the betterment of humanity. In Thrive, Ravi Bapna and Anindya Ghose counter the backlash by showcasing how AI is positively influencing the aspects of our daily lives that we care about most: our health and wellness, relationships, education, the workplace, and domestic life. In the process the authors help explain the underlying technology and give people the agency they need to shape the debate around how we should regulate AI to maximize its benefits and minimize its risks. Bringing over two decades of experience with cutting-edge research, consulting, executive coaching, and advising to bear on the subject, Bapna and Ghose demystify the technology of AI itself. They offer a novel "House of AI" framework that encompasses traditional analytics, generative AI, and fair and ethical deployment of AI. Using examples from everyday life, they showcase how the modern AI-powered ecosystem fundamentally improves the emotional, physical, and material well-being of regular people across the globe. Thrive's mission is to educate the public about AI, shape realistic expectations, and foster informed discussions about a fast-emerging AI-shaped society. Everyday life, they showcase how the modern AI-powered ecosystem fundamentally improves the emotional, physical, and material well-being of regular people across the globe. Thrive's mission is to educate the public about AI, shape realistic expectations, and foster informed discussions about a fast-emerging AI-shaped society.eryday life, they showcase how the modern AI-powered ecosystem fundamentally improves the emotional, physical, and material well-being of regular people across the globe. Thrive's mission is to educate the public about AI, shape realistic expectations, and foster informed discussions about a fast-emerging AI-shaped society, everyday life, they showcase how the modern AI-powered ecosystem fundamentally improves the emotional, physical, and material well-being of regular people across the globe. Thrive's mission is to educate the public about AI, shape realistic expectations, and foster informed discussions about a fast-emerging AI-shaped society.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291270
291269	1	Pax Economica : | Left-Wing visions of a free trade world /	Palen, Marc-William,	The forgotten history of the liberal radicals, socialist internationalists, feminists, and Christians who envisioned free trade as the necessary prerequisite for anti-imperialism and peace Today, free trade is often associated with right-wing free marketeers. In Pax Economica, historian Marc-William Palen shows that free trade and globalisation in fact have roots in nineteenth-century left-wing politics. In this counterhistory of an idea, Palen explores how, beginning in the 1840s, left-wing globalists became the leaders of the peace and anti-imperialist movements of their age. By the early twentieth century, an unlikely alliance of liberal radicals, socialist internationalists, feminists, and Christians envisioned free trade as essential for a prosperous and peaceful world order. Of course, this vision was at odds with the era's strong predilections for nationalism, protectionism, geopolitical conflict, and colonial expansion. Palen reveals how, for some of its most radical left-wing adherents, free trade represented a hard-nosed critique of imperialism, militarism, and war. Palen shows that the anti-imperial component of free trade was a phenomenon that came to encompass the political left wing within the British, American, Spanish, German, Dutch, Belgian, Italian, Russian, French, and Japanese empires. The left-wing vision of a "pax economica" evolved to include supranational regulation to maintain a peaceful free-trading system--which paved the way for a more liberal economic order after World War II and such institutions as the United Nations, the European Union, and the World Trade Organization. Palen's findings upend how we think about globalisation, free trade, anti-imperialism, and peace. Rediscovering the left-wing history of globalism offers timely lessons for our own era of economic nationalism and geopolitical conflict.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291269
291268	1	The golden passport : | global mobility for millionaires /	Surak, Kristin,	"[A] fascinating study of how people―and their capital―seek to move around a world that is at once hugely interconnected and driven by inequities...definitive, detailed, and unusually nuanced." ―Atossa Araxia Abrahamian, Foreign Affairs The first comprehensive on-the-ground investigation of the global market for citizenship, examining the wealthy elites who buy passports, the states and brokers who sell them, and the normalization of a once shadowy practice. Our lives are in countless ways defined by our citizenship. The country we belong to affects our rights, our travel possibilities, and ultimately our chances in life. Obtaining a new citizenship is rarely easy. But for those with the means--billionaires like Peter Thiel and Jho Low, but also countless unknown multimillionaires--it's just a question of price. More than a dozen countries, many of them small islands in the Mediterranean, Caribbean, and South Pacific, sell citizenship to 50,000 people annually. Through six years of fieldwork on four continents, Kristin Surak discovered how the initially dubious sale of passports has transformed into a full-blown citizenship industry that thrives on global inequalities. Some "investor citizens" hope to parlay their new passport into visa-free travel--or use it as a stepping stone to residence in countries like the United States. Other buyers take out a new citizenship as an insurance policy or to escape state control at home. Almost none, though, intend to move to their selected country and live among their new compatriots, whose relationship with these global elites is complex. A groundbreaking study of a contentious practice that has become popular among the nouveaux riches, The Golden Passport takes readers from the details of the application process to the geopolitical hydraulics of the citizenship industry. It's a business that thrives on uncertainty and imbalances of power between big, globalized economies and tiny states desperate for investment. In between are the fascinating stories of buyers, brokers, and sellers, all ready to profit from the citizenship trade.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291268
291267	1	Regional comprehensive economic partnership /		The Regional Comprehensive Economic Partnership(RCEP) is a free-trade deal between 10 ASEAN member states and Australia,China, Japan, New Zealand, and South Korea. It is the world's biggest regionaltrade deal, and it will create the world's most populous trade area. Thisedited collection features 10 contributions from multidisciplinary authors andis meant to share research and best practises on different aspects of the RCEP.It presents research projects that contribute to the discussion about the theory,lessons learned, and business strategies, to give a better understanding of theRCEP and how it can shape policy in member countries. The themes in eachchapter can also serve to evaluate reports on the RCEP's overall progress. Thebook covers a broad range of subjects, including an overview of the RCEP,digital economy, peer-to-peer lending, international e-commerce, big data, ICTreadiness and much more. This work is a key source of information and referencefor RCEP development for academics and researchers (in economics and politicalscience), government and trade organisations and policymakers interested in theRCEP. Members of the general public who want to understand debates surroundingthe RCEP will also benefit from the information provided.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291267
291266	1	Data is everybody's business : | the fundamentals of data monetization /	Wixom, Barbara Haley,	A clear, engaging, evidence-based guide to monetizing data, for everyone from employee to board member. Most organizations view data monetization--converting data into money--too narrowly: as merely selling data sets. But data monetization is a core business activity for both commercial and noncommercial organizations, and, within organizations, it's critical to have wide-ranging support for this pursuit. In Data Is Everybody's Business, the authors offer a clear and engaging way for people across the entire organization to understand data monetization and make it happen. The authors identify three viable ways to convert data into money--improving work with data, wrapping products with data, and selling information offerings--and explain when to pursue each and how to succeed. Key features of the book: *       Grounded in twenty-eight years of academic research, including nine years of research at the MIT Sloan Center for Information Systems Research (MIT CISR) *       Definitions of key terms, self-reflection questions, appealing graphics, and easy-to-use frameworks *       Rich with detailed case studies *       Supplemented by free MIT CISR website resources (cisr.mit.edu) Ideal for organizations engaged in data literacy training, data-driven transformation, or digital transformation, Data Is Everybody's Business is the essential guide for helping everybody in the organization--not just the data specialists--understand, get excited about, and participate in data monetization.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291266
291265	1	The development of an art history in the UAE : | an art not made to be understood /	Kazan Makhlouf, Sophie,	This book draws together an oral and visual art history of a country that is extremely rich in culture and history but that is often overlooked or underestimated. By observing the country's history and visual culture and the artistic practices of select artists from the UAE, it considers the development of contemporary art from the UAE. This will increase accessibility to art by Emiratis and underline its wider relevance. There is a dearth of literature on contemporary art by Emiratis, and this may be one of the reasons contemporary art from the UAE is under-represented globally. In order to help the reader better understand art from the UAE, this book traces the country's historical make-up, its culture and contemporary art tradition through oral histories based on interviews with a wide variety of artists and people working in the art industries. It also explores this development using global art discourses that are relevant to art produced in the UAE today. This book also considers how cultural and artistic identities are formed and explores the political and socio-economic interests in the country that have stimulated art practices and appreciation. For so long, an exclusively Western narrative has dominated Art, and popular media portrays the Gulf's accomplishments in development and modernity with suspicion. Thanks to the UAE's espousal of the Internet and online communities over the last decade, this book is particularly timely. Following the pandemic, a wider understanding of global art discourses, values and perceptions are increasingly welcomed. Art from the UAE bridges the local and the global, giving a voice and a visual presence to a country's contemporary art tradition that has been widely overlooked. The UAE has a distinct visual arts tradition that relates to a broader and inclusive understanding of art centered on development and change.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291265
291264	1	An unwritten future : | realism and uncertainty in world politics /	Kirshner, Jonathan,	An argument for the classical realist approach to world politics An Unwritten Future offers a fresh reassessment of classical realism, an enduring approach to understanding crucial events in the international political arena. Jonathan Kirshner identifies the fundamental flaws of classical realism's would-be successors and shows how this older, more nuanced and sophisticated method for studying world politics better explains the formative events of the past. Kirshner also reveals how this approach is ideally equipped to comprehend the vital questions of the present--such as the implications of China's rise, the ways that social and economic change alter the balance of power and the nature of international conflict, and the consequences of the end of the US-led postwar order for the future of world politics. Laying out realism's core principles, Kirshner discusses the contributions of the perspective's key thinkers, including Thucydides, Hans Morgenthau, and Raymond Aron, among others. He illustrates how a classical realist approach gives new insights into major upheavals of the twentieth century, such as Britain's appeasement of Nazi Germany and America's ruinous involvement in Vietnam. Kirshner also addresses realism's limits and explores contemporary issues, including the ascent of great power challengers, the political implications of globalization, and the diffusion of power in modern world politics. A reexamination of the realist tradition, with a renewed emphasis on the crucial roles played by uncertainty, contingency, and contestation, An Unwritten Future demonstrates how a once-popular school of thought provides invaluable insights into pressing real-world problems.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291264
291263	1	Digital business and electronic commerce : | strategy, business models and technology /	Wirtz, Bernd W.,	This textbook introduces readers to digital business from a management standpoint. It provides an overview of the foundations of digital business with basics, activities and success factors, and an analytical view on user behavior. Dedicated chapters on mobile and social media present fundamental aspects, discuss applications and address key success factors. The Internet of Things (IoT) is subsequently introduced in the context of big data, cloud computing and connecting technologies, with a focus on industry 4.0, smart business services, smart homes and digital consumer applications, as well as artificial intelligence. The book then turns to digital business models in the B2C (business-to-consumer) and B2B (business-to-business) sectors. Building on the business model concepts, the book addresses digital business strategy, discussing the strategic digital business environment and digital business value activity systems (dVASs), as well as strategy development in the context of digital business. Special chapters explore the implications of strategy for digital marketing and digital procurement. Lastly, the book discusses the fundamentals of digital business technologies and security, and provides an outline of digital business implementation. A comprehensive case study on Google/Alphabet, explaining Google's organizational history, its integrated business model and its market environment, rounds out the book.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291263
291261	2	تاريخ العلاقات الإماراتية المغربية من البدايات الأولى إلى الزمن الراهن /	الكتبي، سعيد الجاري،	يتناول كتاب "تاريخ العلاقات الإماراتية المغربية من البدايات الأولى إلى الزمن الراهن" للدكتور سعيد الجاري الكتبي دراسة تحليلية معمقة لمسار العلاقات الثنائية بين دولة الإمارات العربية المتحدة والمملكة المغربية، منذ جذورها التاريخية وحتى العصر الحديث. ينطلق المؤلف من الخلفيات السياسية والدينية والثقافية التي أسهمت في ترسيخ هذه العلاقة، مع التركيز على دور الزعيمين المؤسسين الشيخ زايد بن سلطان آل نهيان والملك الحسن الثاني، رحمهما الله، في بناء أسس التعاون والتضامن بين البلدين.ينقسم الكتاب إلى أربعة فصول رئيسية، تشمل الجذور التاريخية، والمحددات الجيوسياسية والسياسية، والعلاقات السياسية والأمنية، ثم العلاقات الاقتصادية والاجتماعية والثقافية والإنسانية. ويبرز الكتاب كيف تطورت هذه العلاقات لتشمل مجالات متعددة مثل التعاون العسكري، التبادل التجاري، الاستثمارات، التعليم، الإعلام، والعمل الإنساني، مع توثيق للزيارات الرسمية والاتفاقيات الثنائية.يعتمد المؤلف على منهج تفاعلي يدرس العلاقات كبنية ديناميكية مترابطة، ويقدّم رؤية توثيقية وتحليلية تسعى إلى إبراز أوجه التكامل والتعاضد بين البلدين، وتشجيع الدراسات المستقبلية لتعميق هذا الإرث الدبلوماسي والشعبي المشترك.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291261
291249	2	العمارة العسكرية البرتغالية في الخليج : | هرمز، وقشم، ولأرك /	كامبوش، جواو دوش سانتوش دي سوزا،	يتناول الكتاب "العمارة العسكرية البرتغالية في الخليج العربي" دراسة تحليلية فريدة تسعى إلى سد فراغ بحثي كبير يتعلق بالوجود البرتغالي في منطقة الخليج، من خلال توثيق وتحليل التحصينات والعمارة الدفاعية البرتغالية في جزر مثل هرمز، قشم، لارك، وبندر كنك. يعكس العمل جهودًا ميدانية ومكتبية جمعت بين النظرية والتطبيق، مع تأكيد على الجانب البصري والتحليل الأيقوني للخرائط والتحصينات.يتوزع الكتاب على خمسة فصول، يبدأ بسرد الخلفيات النظرية والتاريخية للعمارة العسكرية البرتغالية وعلاقتها بمؤسسات مثل وسام القديس يوحنا، ويمر بعصر ما قبل الحداثة والتأثيرات الأوروبية، وصولًا إلى النماذج التطبيقية في الخليج. يتناول أيضًا دور المهندس البرتغالي إينوفر دي كارفاليو في تصميم التحصينات، ويُبرز الرسم المعماري كوسيلة لفهم الرمزية والاستراتيجيات الدفاعية.يُستكمل الطرح بتحليل دقيق لحصن هرمز، قشم، ولارك من حيث التصميم، الوظيفة، وتكيّفها مع المدفعية النارية، مدعّمًا بصور ورسومات وملاحق زمنية حول الحكام البرتغاليين ومسؤولي الخليج. يمثل هذا العمل إسهامًا علميًا مرجعيًا لفهم العلاقة بين العمارة، السلطة، والتمثيل الإمبراطوري البرتغالي في الخليج العربي.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291249
291248	2	تجارة العملات المعدنية في إمارات الساحل الغربي للخليج العربي بين عامي 1929-1947 /	عليلي، خولة عبد الله،	تناول الكتاب تحوّل العملات المعدنية في إمارات الساحل الغربي للخليج العربي إلى سلعة تستورد وتصدر، وتثبت أرقام وارداتها وصادراتها في التقارير التجارية السنوية.  معتمدا على ما تضمنته الوثائق المحلية والأجنبية المعاصرة المنشورة وغير المنشورة؛ مع تحليل العوامل التي جعلت العملات المعدنية سلعة تجارية تستورد وتصدر؛ فضلاً عن كونها أداة تقويم للسلع والخدمات. مع شرح كيفية تقويم العملات، وبيان الأساليب التي كانت متبعة في عملية الاتجار بها، ورصد الكتاب التطور السنوي لواردات العملات المعدنية وما أعيد تصديره منها، مع تحديد ما درّته تلك التجارة، من إيرادات نقدية في بيت مال كل إمارة، وخاض في العوامل التي قللت من شأن تلك التجارة تدريجياً، وأدت إلى اضمحلالها. وتعالج الدراسة موضوعاً مهما لاقتصاد ما قبل النفط في منطقة الخليج العربي.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291248
291247	2	سؤال المصير : | قرنان من صراع العرب من أجل السيادة والحرية /	غليون، برهان،	يقدّم كتاب "سؤال المصير: قرنان من صراع العرب من أجل السيادة والحرية" للمفكر السوري برهان غليون مراجعة نقدية معمّقة لمسار المجتمعات العربية خلال القرنين الماضيين، محاولًا تفسير أسباب تعثرها في تحقيق السيادة والحرية واللحاق بركب الحداثة. ينفي غليون أن يكون التخلف العربي ناتجًا عن التراث أو الثقافة المحلية، ويراه ثمناً لهيمنة الدول الصناعية المركزية التي احتكرت عناصر التقدم وفرضت تبعية اقتصادية وسياسية على الأطراف، كما يعزو فشل مشاريع التحديث إلى النخب الحاكمة التي أعادت إنتاج علاقة السيد والتابع مع الغرب، بدل بناء دول حديثة مستقلة.يحلل الكتاب تطور الخطاب الثقافي العربي منذ القرن التاسع عشر، ويرصد تحولات أسئلة النهضة، وصولًا إلى تداعيات الربيع العربي وصعود الإسلاموفوبيا. كما ينتقد غليون القراءة الشائعة التي تفسر الفجوة الحضارية بممانعة البنى العربية للحداثة، ويؤكد أن الحركات الأصولية ليست عودة للماضي، بل تعبير عن أزمة المجتمعات بعد إحباط مشاريع التقدم. ويرى أن الحداثة ليست قالبًا جاهزًا، بل معركة دائمة لانتزاع موقع فاعل في النظام العالمي، وأن تجاوز التخلف يتطلب صدامًا مع القوى المهيمنة وتغيير خيارات النخب المسيطرة.يتوزع الكتاب على خمسة فصول تتناول جذور التخلف، دور الاستعمار، سياسات النخب، أزمة المثقفين، وإشكاليات العلاقة مع التراث والدين. ويخلص غليون إلى أن مسؤولية التحرر تقع على عاتق الشعوب والنخب معًا، داعيًا إلى نقد الذات وتجاوز "الحداثة الرثة" نحو سيادة حقيقية وعدالة اجتماعية وتضامن إنساني.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291247
291246	2	الإعلام العسكري وتعزيز قيم الانتماء الوطني /	الزويري، خلود محمد	يعد الإعلام العسكري أحد الفروع المتخصصة للإعلام الشامل، وأصبح يمثل ركيزة مهمة من ركائز بناء الأمن الوطني للدولة والوسيلة الرئيسية لإيصال نشاط ودور القوات المسلحة إلى الجماهير المستهدفة، وهو دور يقوم على أساس التفاعل مع التحديات والتهديدات الموجهة للأمن الوطني من أجل تأكيد إستراتيجية الدولة في مواجهة هذه التحديات، وذلك من خلال الإسهام في مناقشة هذه القضايا وإيجاد الحلول المناسبة لها، كما أن له و له رسالة مهمة في مواجهة الغزو الفكري والثقافي المعادي الذي يستهدف النيل من وحدة الوطنويؤدي الإعلام العسكري المرئي دوراً مهماً وفعالاً في حياة الأفراد وينمي الشعور بالمسؤولية ويبث روح التفاؤل بالحياة من يستخدمه من عبارات وجمل معبره وهادفة وذات طابع إستثنائي تنطلق من واقع حياة المجتمع في غالب الأحيان وتخاطب الوجدان وتلامس العواطف والهموم والتطلعات.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291246
291244	2	مؤشر حالة الإرهاب في عام 2023 : | تقدير استراتيجي لمستويات النشاط الإرهابي و حملات مكافحته على مستوى العالم، والاتجاهات الرئيسية لتطور الظاهرة الإرهابية /		يتناول تقرير "مؤشر حالة الإرهاب في عام 2023" الصادر عن مركز الإمارات للدراسات والبحوث الاستراتيجية تحليلًا استراتيجيًا شاملًا للنشاط الإرهابي حول العالم، واتجاهات تطور الظاهرة الإرهابية، وفعالية حملات المكافحة خلال عام 2023. يعرض التقرير منهجية المؤشر في تصنيف الحوادث الإرهابية والجهات الفاعلة من غير الدول، مستندًا إلى قاعدة بيانات واسعة تغطي آلاف الحوادث سنويًا، مع مراعاة التداخل بين الإرهاب، التطرف، والحملات المضادة، حيث شهد عام 2023 تصاعدًا لافتًا في النشاط الإرهابي عالميًا، حيث ارتفع عدد الهجمات إلى 4206 هجمات، بزيادة قدرها 8.7% مقارنة بعام 2022 الذي سجل 3868 هجومًا. وقد توسعت رقعة النشاط الإرهابي بشكل ملحوظ، إذ ارتفع عدد الدول المتأثرة بالإرهاب بنسبة 122%، بعد أن كانت الزيادة في العام السابق لا تتجاوز 2%. كما نشط خلال العام 105 تنظيمات وجماعات إرهابية حول العالم، بزيادة قدرها 75% عن عام 2022، الذي شهد نشاط نحو 60 تنظيمًا فقط. وأسفرت هذه الهجمات عن سقوط نحو 12,538 قتيلًا، بزيادة بلغت 31.2% عن حصيلة العام السابق البالغة 9550 قتيلاً. وتصدّر إقليم جنوب ووسط آسيا قائمة الأقاليم الأكثر تعرضًا للهجمات الإرهابية مسجلًا 1174 هجومًا، بنسبة زيادة 20.1%، فيما احتلت مناطق شرق ووسط إفريقيا المرتبة الأولى في عدد الضحايا، حيث بلغ عدد القتلى فيها 6526 ضحية، بزيادة 40% عن عام 2022. كما استحوذت عشر دول فقط على ما يقارب 79.5% من مجمل الهجمات، أبرزها سوريا (638 هجومًا)، وباكستان (600)، والهند (429)، والكونغو (357)، والصومال (341)، تليها نيجيريا، والعراق، واليمن، ومالي، وبوركينا فاسو. ويعزى تصدر سوريا للقائمة إلى تحوّل مركز نشاط تنظيم "داعش – المركز" من العراق إلى الأراضي السورية، في حين صعدت باكستان إلى المرتبة الثانية نتيجة تصاعد تمرد "تحريك طالبان" والجماعات الانفصالية البلوشية، في ظل أزمات داخلية معقدة. وبالرغم من أن مالي وبوركينا فاسو احتلتا المرتبتين التاسعة والعاشرة، فإن تصاعد النشاط الإرهابي في منطقة الساحل وغرب إفريقيا يُنذر بصعودهما مستقبلاً. وفيما يتعلق بالتنظيمات الأكثر نشاطًا، جاء تنظيم "داعش – المركز" في الصدارة بتنفيذه 499 هجومًا (11.8% من الإجمالي العالمي)، تلاه تنظيم "حركة الشباب المجاهدين" الصومالي بـ411 هجومًا (9.7%). وعلى صعيد مكافحة الإرهاب، ارتفع عدد الحملات بنسبة 16.4%، حيث نُفذت 9933 حملة في 2023، مقارنة بـ8532 في 2022، بمشاركة 74 دولة من مختلف القارات، وتكبدت التنظيمات الإرهابية خلالها خسائر بشرية بلغت 31,594 بين قتيل ومعتقل، بزيادة قدرها 13.5%. وتصدّر إقليم جنوب ووسط آسيا قائمة الأقاليم الأكثر تنفيذًا لحملات مكافحة الإرهاب (4739 حملة)، وكذلك من حيث الخسائر البشرية في صفوف التنظيمات، والتي بلغت 9436 عنصرًا بين قتيل ومعتقل.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291244
291243	2	انعكاسات الجرائم الإلكترونية على الخبرة القضائية في التشريع الإماراتي /	الظنحاني، سليمان أحمد سليمان الشراري،	يتناول كتاب "انعكاسات الجرائم الإلكترونية على الخبرة القضائية في التشريع الإماراتي" للدكتور سليمان أحمد الشراري تحليلًا معمقًا للتحديات التي تفرضها الجرائم المعلوماتية على نظام العدالة الجنائية في دولة الإمارات. يُبرز المؤلف التحوّل النوعي في الجريمة نتيجة التطور التكنولوجي، حيث أصبحت الجرائم تُرتكب في الفضاء الرقمي دون ترك آثار مادية، مما يُصعّب عملية جمع الأدلة وكشف الجناة باستخدام الأساليب التقليدية.يركّز الكتاب على أهمية الدليل الرقمي كمحور أساسي في إثبات الجريمة المعلوماتية، ويؤكد على ضرورة تطوير الخبرة القضائية بما يتواءم مع طبيعة العالم الافتراضي. يناقش دور القاضي الجزائي في تقييم مشروعية وقوة الأدلة الرقمية، وحتمية استعانته بخبراء فنيين لفهم الجوانب التقنية المتصلة بالجريمة.كما يستعرض الإطار القانوني الناظم للخبرة القضائية في الإمارات ومدى كفايته، مشيرًا إلى الحاجة لإعادة تأهيل وتدريب الكوادر القضائية والضبطية لمواكبة تطورات الجريمة الإلكترونية. ويُبرز المؤلف الفجوة المعرفية في هذا المجال، منوّهًا بندرة الدراسات المتخصصة عربيًا ومحليًا، ما يُضفي على هذا العمل بعدًا عمليًا وعلميًا هامًا.الكتاب يشكّل مساهمة رصينة لفهم العلاقة المتشابكة بين الجرائم الإلكترونية والخبرة القضائية، ويضع إطارًا علميًا لتطوير آليات الإثبات في العصر الرقمي.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291243
291242	2	الحرب الهجينة : | اتجاه أكاديمي سائد /	ليبيسلر، كيارا،	مع أن مفهوم "الحرب الهجينة" قد أبصـر النور منذ سنوات خلت؛ فإنه لم يلقَ رواجًا وشـيوعًا إلا عندما استخدمه حلف شمال الأطلسـي (الناتو)، وطوعه في عام 2014، ومن وقتها ازداد الإقبال الأكاديمي عليه بلا سابق مقدمات. وتبنَّت الأوساط الأكاديمية مدلولات المفهوم لدى الناتو، وتقبلت -بلا تمحيص ولا تدقيق- اتساقه في سـياق وصف الأعمال الروسـية في شبه جزيرة القرم، واستوحت فحواه في النقاشات الأكاديمية. وقد أدى شـيوع المصطلح ورواجه إلى مسارعة الباحثين إلى ركوب الموجة السائدة، في الوقت الذي لم يجتذب فيه سوى اهتمام سطحي ضئيل بمفهومه، وبالظاهرة التي طُبّق عليها. من هنا تسعى هذه الدراسة إلى فهم أسباب انتشار هذا المصطلح وتأثيره في مجال الدراسات الاستراتيجية.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291242
291241	2	مؤشر حالة الإرهاب في عام 2024 : | تقدير استراتيجي لمستويات النشاط الإرهابي وحملات مكافحته على مستوى العالم، والاتجاهات الرئيسية لتطور الظاهرة الإرهابية /		يتناول تقرير "مؤشر حالة الإرهاب في عام 2024" الصادر عن مركز الإمارات للدراسات والبحوث الاستراتيجية تحليلًا استراتيجيًا شاملًا للنشاط الإرهابي حول العالم، واتجاهات تطور الظاهرة الإرهابية، وفعالية حملات المكافحة خلال عام 2024. يعرض التقرير منهجية المؤشر في تصنيف الحوادث الإرهابية والجهات الفاعلة من غير الدول، مستندًا إلى قاعدة بيانات واسعة تغطي آلاف الحوادث سنويًا، مع مراعاة التداخل بين الإرهاب، التطرف، والحملات المضادة. يرصد التقرير تصاعد النشاط الإرهابي بنسبة 62% مقارنة بعام 2023، حيث سُجل 6820 هجومًا إرهابيًا في 59 دولة، وتزايد عدد القتلى بنسبة نحو 28% ليبلغ 16038 ضحية. كما ارتفع عدد التنظيمات النشطة إلى 119 تنظيمًا. واحتل إقليم الشرق الأوسط وشمال إفريقيا الصدارة من حيث عدد الهجمات، بينما استأثر إقليم الساحل وغرب إفريقيا بأعلى نسبة من الضحايا.ويستند التقرير إلى "الخريطة الحرارية للتهديدات الإرهابية" كمؤشر فرعي يُحدَّث دوريًا، ويُسهم في فهم ديناميكيات الظاهرة الإرهابية إقليميًا ودوليًا. يعكس المؤشر التحديات التي يفرضها غياب تعريف دولي موحد للإرهاب، ويُميز بدقة بين العنف الإرهابي والعنف السياسي الآخر كالثورات أو الحركات الوطنية. باختصار، يقدم التقرير أداة بحثية وتحليلية دقيقة لصنّاع القرار والباحثين لفهم المسارات المتغيرة للإرهاب العالمي وآليات التصدي له.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291241
291240	2	Iranian political thought: | roots, influences, impact /	Al-Nuaimi, Sultan Mohammed	In presenting a comprehensive examination of Iranian political thought, this book addresses key questions that aim to outline its nature and defining features. How has Shiite political thought, both the Akhbari and Usuli (rationalist) branches, shaped the overall evolution of Iranian political thought? What were the main developmental phases of Shiite political thought, and how were these ideas affected, positively or negatively, by each successive dynasty and political regime that has ruled Iran? In what ways have modern intellectual ideas influenced Iranian political ideology, and how has this influence manifested? The impact of the Iranian Revolution is also examined, considering how, in its aftermath, Iran's leading religious group was able to take the concept of Wilayat Al-Faqih to the highest levels of authority, shaping Islamic government. What theories were proposed by religious, liberal and leftist groups as alternative ruling systems after the fall of the Shah? Crucially, how were religious forces able to undermine these liberal and leftist currents to take power? And in taking over, what mechanisms were used to adapt state institutions to align with Shiite political ideology? The analysis also turns to the second decade of the Iranian Revolution, exploring new political perspectives that emerged within the broader religious establishment, advocating for alternatives to the absolute concept of Wilayat Al-Faqih. Key questions include: What drove these shifts in perspective among both traditionalists and reformists in the religious regime, particularly on the concept of Wilayat Al-Faqih and the political system in Iran? What were the key features of the alternative political system proposed by the nationalist liberal movement? And finally, what is the outlook for Iran's political system, given domestic tensions, and current regional and international dynamics? All of these questions contribute to developing a deeper understanding of Iran's political system and climate.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=291240
